Rank,Company,Country,Sales,Profits,Assets,Market Value,ISO-ALPHA-3,ISO-ALPHA-2,IOC,FIFA,Latitude,Longitude,ISO-Name,Historical,WikiData_ID,WikiData_Latitude,WikiData_Longitude,WikiData_Label,WikiData_Description
711,Quanta Computer,Taiwan,42.95,0.9712999999999999,26.55,11.27,TWN,TW,TPE,TPE,23.69781,120.960515,0,0,Q865,24.0,121.0,Taiwan,"democratic republic in East Asia, also known as the Republic of China since 1949"
712,Sabanci Holding,Turkey,14.57,2.64,66.56,3.91,TUR,TR,TUR,TUR,38.963745,35.243322,1,0,Q43,39.0,36.0,Turkey,sovereign state spanning in Europe and Asia
713,Rongsheng Petrochemical,China,39.86,-0.1814,52.81,18.56,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
714,International Paper,United States,20.94,1.8,23.77,11.23,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
715,Eiffage,France,21.93,0.9417000000000001,38.63,10.95,FRA,FR,FRA,FRA,46.227638,2.213749,1,0,Q142,47.0,2.0,France,country in Western Europe
715,Tenaris,Luxembourg,13.51,3.17,18.64,16.14,LUX,LU,LUX,LUX,49.815273,6.129583,1,0,Q32,49.77,6.13,Luxembourg,country in Western Europe
717,Tokyo Gas,Japan,24.27,2.07,26.91,9.02,JPN,JP,JPN,JPN,36.204824,138.252924,1,0,Q17,35.0,136.0,Japan,sovereign state in East Asia
718,Korea Gas,South Korea,40.02,1.16,49.37,1.75,KOR,KR,KOR,KOR,35.907757,127.766922,0,0,Q884,36.0,128.0,South Korea,sovereign state in East Asia
719,Fox,United States,14.29,1.51,23.13,17.09,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
720,Siemens Energy,Germany,31.64,-0.7903,51.24,19.64,DEU,DE,GER,GER,51.165691,10.451526,1,0,Q183,51.0,10.0,Germany,country in Central Europe
721,QBE Insurance Group,Australia,14.86,0.7863,43.81,15.44,AUS,AU,AUS,AUS,-25.274398,133.775136,1,0,Q408,-28.0,137.0,Australia,country in Oceania
722,Mahindra & Mahindra,India,14.61,1.26,23.61,18.43,IND,IN,IND,IND,20.593684,78.96288,1,0,Q668,22.8,83.0,India,country in South Asia
723,DISH Network,United States,16.68,2.3,53.74,3.78,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
724,Constellation Energy,United States,25.03,-0.169,46.16,25.75,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
725,Tata Motors,India,40.5,-0.5121,38.8,22.49,IND,IN,IND,IND,20.593684,78.96288,1,0,Q668,22.8,83.0,India,country in South Asia
725,Westlake Chemical,United States,15.09,1.87,20.81,15.48,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
727,Bank Leumi,Israel,5.26,2.29,198.15,12.07,ISR,IL,ISR,ISR,31.046051,34.851612,1,0,Q801,31.0,35.0,Israel,sovereign state in the Middle East
728,Canara Bank,India,13.22,1.25,163.63,7.06,IND,IN,IND,IND,20.593684,78.96288,1,0,Q668,22.8,83.0,India,country in South Asia
729,WW Grainger,United States,15.67,1.67,7.83,33.89,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
730,HD HYUNDAI,South Korea,50.2,0.9647,51.85,3.09,KOR,KR,KOR,KOR,35.907757,127.766922,0,0,Q884,36.0,128.0,South Korea,sovereign state in East Asia
731,Huishang Bank,China,10.16,2.0,227.36,4.41,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
732,Coterra Energy ,United States,9.08,4.13,20.14,19.28,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
733,Fubon Financial,Taiwan,9.76,0.471,349.11,23.91,TWN,TW,TPE,TPE,23.69781,120.960515,0,0,Q865,24.0,121.0,Taiwan,"democratic republic in East Asia, also known as the Republic of China since 1949"
734,AirBnB,United States,8.4,1.89,16.04,75.77,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
735,AerCap Holdings,Ireland,6.87,1.71,69.68,13.7,IRL,IE,IRL,IRL,53.41291,-8.24389,1,0,Q27,53.0,-8.0,Republic of Ireland,sovereign state in northwestern Europe covering five-sixths of the island of Ireland
736,Simon Property Group,United States,5.35,2.16,33.3,35.81,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
737,Renault,France,48.76,-0.3552,126.28,10.45,FRA,FR,FRA,FRA,46.227638,2.213749,1,0,Q142,47.0,2.0,France,country in Western Europe
738,Equinix,United States,7.53,0.8157000000000001,31.27,68.66,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
739,Solvay,Belgium,16.63,1.89,22.19,12.31,BEL,BE,BEL,BEL,50.503887,4.469936,1,0,Q31,50.64,4.67,Belgium,country in western Europe since 1830
740,Public Bank,Malaysia,4.57,1.39,111.98,17.54,MYS,MY,MAS,MAS,4.210484,101.975766,1,0,Q833,3.78,102.31,Malaysia,sovereign state in Southeast Asia
741,LG Electronics,South Korea,63.31,0.3368,44.16,14.87,KOR,KR,KOR,KOR,35.907757,127.766922,0,0,Q884,36.0,128.0,South Korea,sovereign state in East Asia
742,Fidelity National Information (FIS),United States,14.55,-16.7,61.08,33.03,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
743,UPM-Kymmene,Finland,12.48,1.63,21.79,17.7,FIN,FI,FIN,FIN,61.92411,25.748151,1,0,Q33,65.0,27.0,Finland,country in northern Europe
744,NEC,Japan,24.45,0.8449,29.93,11.83,JPN,JP,JPN,JPN,36.204824,138.252924,1,0,Q17,35.0,136.0,Japan,sovereign state in East Asia
745,Ameren,United States,8.14,1.09,38.06,23.71,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
746,WTW,United Kingdom,8.96,1.09,31.91,24.24,GBR,GB,GBR,,55.378051,-3.435973,0,0,Q145,54.6,-2.0,United Kingdom,country in Western Europe
747,EQT,United States,11.48,4.51,22.69,11.7,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
747,Korea Electric Power,South Korea,55.15,-18.94,185.69,9.22,KOR,KR,KOR,KOR,35.907757,127.766922,0,0,Q884,36.0,128.0,South Korea,sovereign state in East Asia
749,ThyssenKrupp Group,Germany,43.23,1.16,38.53,4.53,DEU,DE,GER,GER,51.165691,10.451526,1,0,Q183,51.0,10.0,Germany,country in Central Europe
750,YPF ,Argentina,18.63,2.21,25.91,9.05,ARG,AR,ARG,ARG,-38.416097,-63.616672,1,0,Q414,-34.0,-64.0,Argentina,sovereign state in South America
751,The Hershey Company,United States,10.74,1.7,11.11,56.18,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
